sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 07:26,carelog702,고구마스틱2 (10개) 1,30,5,alsrudgus531,운연정,드라이기 추천 드디어 찾은 제품,https://cafe.naver.com/ca-fe/cafes/31750106/articles/30
2,2026-07-10 07:27,dogwalk2m4,강아지강하지 1,38,5,bigfish773,고래낚시 1,"드라이기 모터와 온도, 음이온 효과와 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/38
3,2026-07-10 07:28,driveee,운연정,81,6,ahffkdlek12,바삭바삭해 1,아버지 생신선물 추천 고민이라면,https://cafe.naver.com/ca-fe/cafes/31746635/articles/81
4,2026-07-10 07:29,habitnote702,룰루랄라 2 (12개) 1,33,5,ahfflwl123,햄부기,종로예물 투어 하러 다녀온 후기,https://cafe.naver.com/ca-fe/cafes/31750105/articles/33
5,2026-07-10 07:29,healthhhh,가중건다,83,6,ahffkekd12,긍정이백퍼  1,아버지 생신선물 추천 고민 끝!,https://cafe.naver.com/ca-fe/cafes/31746910/articles/83
6,2026-07-10 07:30,infomadang702,실눈캐,30,5,eghfsa5478,오세아니야 1,결혼예물 준비하며 배운 것들 꿀팁,https://cafe.naver.com/ca-fe/cafes/31750108/articles/30
7,2026-07-10 07:31,localtable702,소원 1,53,6,dhtksk1p,빨간모자앤  1,"회사 답례품 대상 범위와 단가, 돌리는 시점까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/53
8,2026-07-10 07:32,mealtalkdht,빨간모자앤 1,39,2,ahsxkfldk12,쉽고간단하게,"푸룬주스 효능과 하루 섭취량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/39
9,2026-07-10 07:32,menunote702,똑똑한건희씨,38,7,laghunter8,도도 1,"인천 웨딩홀 보증인원과 식대, 계약 전 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750111/articles/38
10,2026-07-10 07:33,petinfo183,티니피쉬 1,31,5,ghostrush7,실눈캐,"에어컨 청소 비용과 분해 공정, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/31
