sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 07:12,carelog702,고구마스틱2 (10개) 1,30,4,ahsxkfldk12,쉽고간단하게,드라이기 추천 드디어 찾은 제품,https://cafe.naver.com/ca-fe/cafes/31750106/articles/30
2,2026-07-10 07:13,dogwalk2m4,강아지강하지 1,38,4,ahffkdlek12,바삭바삭해 1,"드라이기 모터와 온도, 음이온 효과와 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/38
3,2026-07-10 07:14,driveee,운연정,81,5,ahfflwl123,햄부기,아버지 생신선물 추천 고민이라면,https://cafe.naver.com/ca-fe/cafes/31746635/articles/81
4,2026-07-10 07:14,habitnote702,룰루랄라 2 (12개) 1,33,4,ahffkekd12,긍정이백퍼  1,종로예물 투어 하러 다녀온 후기,https://cafe.naver.com/ca-fe/cafes/31750105/articles/33
5,2026-07-10 07:15,healthhhh,가중건다,83,5,dhtksk1p,빨간모자앤  1,아버지 생신선물 추천 고민 끝!,https://cafe.naver.com/ca-fe/cafes/31746910/articles/83
6,2026-07-10 07:16,infomadang702,실눈캐,30,4,alsrudgus531,운연정,결혼예물 준비하며 배운 것들 꿀팁,https://cafe.naver.com/ca-fe/cafes/31750108/articles/30
7,2026-07-10 07:17,localtable702,소원 1,53,5,bigfish773,고래낚시 1,"회사 답례품 대상 범위와 단가, 돌리는 시점까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/53
8,2026-07-10 07:17,mealtalkdht,빨간모자앤 1,39,2,eghfsa5478,오세아니야 1,"푸룬주스 효능과 하루 섭취량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/39
9,2026-07-10 07:18,menunote702,똑똑한건희씨,38,6,k7d9x2m4,강아지강하지 1,"인천 웨딩홀 보증인원과 식대, 계약 전 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750111/articles/38
10,2026-07-10 07:19,petinfo183,티니피쉬 1,31,5,ghostrush7,실눈캐,"에어컨 청소 비용과 분해 공정, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/31
11,2026-07-10 07:20,petnote702,티니피쉬 1,1,8,geenl,모험 - 교체,애견 반려수첩 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750109/articles/1
12,2026-07-10 07:20,tableclub702,고래낚시 1,42,6,n7c3w8z2,고양이밥 1,"부천 웨딩홀 계약금과 위약금 규정, 해지 기준까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/42
13,2026-07-10 07:21,talkmadang702,햄부기,41,6,laghunter8,도도 1,"선풍기 고장났을 때, 고칠까 바꿀까 판단하는 법",https://cafe.naver.com/ca-fe/cafes/31750104/articles/41
14,2026-07-10 07:22,walknote702,강아지강하지 1,1,5,produce11745,가중건다,애견 산책노트 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750107/articles/1
15,2026-07-10 07:23,carelog702,고구마스틱2 (10개) 1,29,4,pixelninja3,건강박사석사 1,"헤어드라이어 스펙 보는 법, 모터·출력·무게 이 순서로만 확인하세요",https://cafe.naver.com/ca-fe/cafes/31750106/articles/29
16,2026-07-10 07:23,dogwalk2m4,강아지강하지 1,37,3,q9v3m7a2,포비 1,"부천 PT 가격과 효과, 환불 규정까지 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/37
17,2026-07-10 07:24,driveee,운연정,80,3,vegetable10517,렙용,아빠 생일선물 추천 리스트 (스타일별·나이대별 총정리),https://cafe.naver.com/ca-fe/cafes/31746635/articles/80
18,2026-07-10 07:25,habitnote702,룰루랄라 2 (12개) 1,32,5,ahffkdlek12,바삭바삭해 1,"명품반지브랜드 세 곳 돌아본 후기, 로망과 현실 사이",https://cafe.naver.com/ca-fe/cafes/31750105/articles/32
19,2026-07-10 07:26,healthhhh,가중건다,82,4,ahffkekd12,긍정이백퍼  1,60대 아빠 생일선물 리스트 (가격대·브랜드별),https://cafe.naver.com/ca-fe/cafes/31746910/articles/82
20,2026-07-10 07:26,infomadang702,실눈캐,28,3,ahfflwl123,햄부기,예물 후회 없이 할 수 있는 방법,https://cafe.naver.com/ca-fe/cafes/31750108/articles/28
21,2026-07-10 07:27,localtable702,소원 1,52,5,ahsxkfldk12,쉽고간단하게,"인천 웨딩홀 보증인원과 식대 구조, 계약 전 확인할 항목까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/52
22,2026-07-10 07:28,mealtalkdht,빨간모자앤 1,38,4,alsrudgus531,운연정,"평발 깔창 효과와 유연성 강직성 구분, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/38
23,2026-07-10 07:29,menunote702,똑똑한건희씨,37,6,bigfish773,고래낚시 1,"올리브오일 등급과 산도, 가열 가능 온도까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/37
24,2026-07-10 07:29,petinfo183,티니피쉬 1,30,3,dhtksk1p,빨간모자앤  1,"방역업체 소독 의무 대상과 법정 횟수, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/30
25,2026-07-10 07:30,tableclub702,고래낚시 1,41,3,eghfsa5478,오세아니야 1,광주 웨딩홀 보증인원 상승과 비용 절감 방법까지,https://cafe.naver.com/ca-fe/cafes/31750110/articles/41
26,2026-07-10 07:31,talkmadang702,햄부기,40,4,geenl,모험 - 교체,"강아지 관절 영양제, 언제부터 시작해야 늦지 않을까",https://cafe.naver.com/ca-fe/cafes/31750104/articles/40
27,2026-07-10 07:32,carelog702,고구마스틱2 (10개) 1,28,4,ghostrush7,실눈캐,종로 금은방 가기전 시세부터 알고 가세요,https://cafe.naver.com/ca-fe/cafes/31750106/articles/28
28,2026-07-10 07:32,dogwalk2m4,강아지강하지 1,36,2,laghunter8,도도 1,"밀크씨슬 효능과 실리마린 함량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/36
29,2026-07-10 07:33,driveee,운연정,79,1,k7d9x2m4,강아지강하지 1,50대 아빠 생일선물 추천 (취미·실용·가격대),https://cafe.naver.com/ca-fe/cafes/31746635/articles/79
30,2026-07-10 07:34,habitnote702,룰루랄라 2 (12개) 1,31,5,n7c3w8z2,고양이밥 1,"14K커플링 맞춘 후기, 실버에서 넘어온 이유",https://cafe.naver.com/ca-fe/cafes/31750105/articles/31
31,2026-07-10 07:35,healthhhh,가중건다,81,5,pixelninja3,건강박사석사 1,남자친구 부모님선물 부담 없이 고르는 법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/81
32,2026-07-10 07:35,infomadang702,실눈캐,27,4,produce11745,가중건다,반지를 한 번도 껴본 적 없는 남자의 웨딩반지 고르기,https://cafe.naver.com/ca-fe/cafes/31750108/articles/27
33,2026-07-10 07:36,localtable702,소원 1,51,5,q9v3m7a2,포비 1,"위고비 알약 효과와 복용법, 국내 출시와 가격까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/51
34,2026-07-10 07:37,mealtalkdht,빨간모자앤 1,37,4,vegetable10517,렙용,커플링브랜드 실버 14k 가격과 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750099/articles/37
35,2026-07-10 07:38,menunote702,똑똑한건희씨,36,1,ahffkdlek12,바삭바삭해 1,"알파CD 효능과 하루 섭취량, 지방 흡착 근거까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/36
36,2026-07-10 07:38,petinfo183,티니피쉬 1,29,4,ahffkekd12,긍정이백퍼  1,"입주청소 평당 단가와 추가금, 청소업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/29
37,2026-07-10 07:39,tableclub702,고래낚시 1,40,4,ahfflwl123,햄부기,"부평 웨딩홀 역세권 위치와 주차, 하객 동선 기준",https://cafe.naver.com/ca-fe/cafes/31750110/articles/40
38,2026-07-10 07:40,talkmadang702,햄부기,39,4,ahsxkfldk12,쉽고간단하게,강아지 영양제 잘못 먹이면 생기는 일,https://cafe.naver.com/ca-fe/cafes/31750104/articles/39
39,2026-07-10 07:41,carelog702,고구마스틱2 (10개) 1,27,1,alsrudgus531,운연정,종로 반지 어디서 살까? 완벽 비교,https://cafe.naver.com/ca-fe/cafes/31750106/articles/27
40,2026-07-10 07:41,dogwalk2m4,강아지강하지 1,35,1,bigfish773,고래낚시 1,"울산 마운자로 처방 기준과 용량별 가격, 성지 판별법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/35
41,2026-07-10 07:42,driveee,운연정,78,3,dhtksk1p,빨간모자앤  1,남자친구 부모님선물 추천 후기,https://cafe.naver.com/ca-fe/cafes/31746635/articles/78
42,2026-07-10 07:43,habitnote702,룰루랄라 2 (12개) 1,30,3,eghfsa5478,오세아니야 1,날개없는 선풍기 살까 말까? 일반 선풍기와 비교해봤습니다,https://cafe.naver.com/ca-fe/cafes/31750105/articles/30
43,2026-07-10 07:44,healthhhh,가중건다,80,3,geenl,모험 - 교체,흑염소진액 효과 복용법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/80
44,2026-07-10 07:44,infomadang702,실눈캐,26,5,k7d9x2m4,강아지강하지 1,백금커플링 3년 껴본 후기,https://cafe.naver.com/ca-fe/cafes/31750108/articles/26
45,2026-07-10 07:45,localtable702,소원 1,50,5,ghostrush7,실눈캐,"삼척카페 구역별 오션뷰와 휴무일, 동선 짜는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/50
46,2026-07-10 07:46,mealtalkdht,빨간모자앤 1,36,3,laghunter8,도도 1,"장에 좋은 음식과 발효식품 섭취량, 피할 음식까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/36
47,2026-07-10 07:47,menunote702,똑똑한건희씨,35,4,n7c3w8z2,고양이밥 1,"베르가못 향의 정체와 얼그레이, 광독성 주의점까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/35
48,2026-07-10 07:47,petinfo183,티니피쉬 1,28,3,pixelninja3,건강박사석사 1,"시스템에어컨 청소 비용과 차이, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/28
49,2026-07-10 07:48,tableclub702,고래낚시 1,39,5,produce11745,가중건다,"먹는 위고비 효과와 복용법, 부작용과 국내 허가까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/39
50,2026-07-10 07:49,talkmadang702,햄부기,38,5,q9v3m7a2,포비 1,"강아지 눈 영양제, 노령견에게 언제부터 챙겨줘야 할까",https://cafe.naver.com/ca-fe/cafes/31750104/articles/38
51,2026-07-10 07:50,carelog702,고구마스틱2 (10개) 1,26,5,vegetable10517,렙용,종로 웨딩밴드 반지 용어와 디자인 고르는 법,https://cafe.naver.com/ca-fe/cafes/31750106/articles/26
52,2026-07-10 07:50,dogwalk2m4,강아지강하지 1,34,3,ahffkdlek12,바삭바삭해 1,"울산 위고비 처방 조건과 가격, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/34
53,2026-07-10 07:51,driveee,운연정,77,3,ahffkekd12,긍정이백퍼  1,"올리브오일 산패 확인법과 가짜 구별, 보관 온도 기준까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/77
54,2026-07-10 07:52,habitnote702,룰루랄라 2 (12개) 1,28,6,ahfflwl123,햄부기,"선풍기 200% 활용법, 에어컨 없이 시원해지는 배치 요령",https://cafe.naver.com/ca-fe/cafes/31750105/articles/28
55,2026-07-10 07:53,healthhhh,가중건다,79,2,ahsxkfldk12,쉽고간단하게,"SAT학원 수강료와 디지털 시험 대비, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746910/articles/79
56,2026-07-10 07:53,infomadang702,실눈캐,25,5,alsrudgus531,운연정,"헤어드라이어에 대한 흔한 오해 6가지, 사실은 이렇습니다",https://cafe.naver.com/ca-fe/cafes/31750108/articles/25
57,2026-07-10 07:54,localtable702,소원 1,49,5,bigfish773,고래낚시 1,"부평 웨딩홀 주차와 뷔페 회차, 보증인원 정하는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/49
58,2026-07-10 07:55,mealtalkdht,빨간모자앤 1,35,3,eghfsa5478,오세아니야 1,웨딩링 추천 종로 브랜드 가격 차이와 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750099/articles/35
59,2026-07-10 07:56,menunote702,똑똑한건희씨,34,4,ghostrush7,실눈캐,"마운자로 요요 원인과 재증가 수치, 끊는 방법까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/34
60,2026-07-10 07:56,petinfo183,티니피쉬 1,27,3,dhtksk1p,빨간모자앤  1,"인천 웨딩홀 식대와 대관료, 계약 전 위약금 확인법",https://cafe.naver.com/ca-fe/cafes/31750098/articles/27
61,2026-07-10 07:57,tableclub702,고래낚시 1,38,4,geenl,모험 - 교체,"인천 예식장 비용과 식대 비중, 계약 전 확인 기준",https://cafe.naver.com/ca-fe/cafes/31750110/articles/38
62,2026-07-10 07:58,talkmadang702,햄부기,37,5,k7d9x2m4,강아지강하지 1,웨딩링브랜드 다 돌아보고 결국 종로 간 후기,https://cafe.naver.com/ca-fe/cafes/31750104/articles/37
63,2026-07-10 07:59,carelog702,고구마스틱2 (10개) 1,25,5,laghunter8,도도 1,"종로 효성주얼리시티 방문기, 예약부터 상담까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/25
64,2026-07-10 07:59,dogwalk2m4,강아지강하지 1,33,2,n7c3w8z2,고양이밥 1,"접이식 카트 프레임 소재와 무게 비교, 용도별 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/33
65,2026-07-10 08:00,driveee,운연정,76,3,pixelninja3,건강박사석사 1,"신발깔창 교체 주기와 소재별 수명, 위생 관리 기준까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/76
66,2026-07-10 08:01,habitnote702,룰루랄라 2 (12개) 1,26,5,q9v3m7a2,포비 1,"드라이기 추천, 가격대별로 뭘 포기하고 뭘 챙길까",https://cafe.naver.com/ca-fe/cafes/31750105/articles/26
