sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-04 00:28,dogwalk2m4,강아지강하지 1,11,8,ahfflwl123,햄부기,"헤어드라이어 종류와 부가기능, 처음 고를 때 봐야 할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/11
2,2026-07-04 00:28,driveee,운연정,25,6,ahsxkfldk12,쉽고간단하게,"답례품 상황별 고르는 기준, 인기 품목 시논감성",https://cafe.naver.com/ca-fe/cafes/31746635/articles/25
3,2026-07-04 00:28,habitnote702,룰루랄라 2 (12개) 1,13,8,ahffkdlek12,바삭바삭해 1,선풍기 모터와 풍량 날개 소음 기준 고르는 법,https://cafe.naver.com/ca-fe/cafes/31750105/articles/13
4,2026-07-04 00:28,healthhhh,가중건다,22,8,alsrudgus531,운연정,"신발깔창 종류와 고르는 기준, 냄새 관리까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/22
5,2026-07-04 00:28,infomadang702,실눈캐,12,8,dhtksk1p,빨간모자앤  1,"알파CD 두 달 먹어본 후기, 지방 흡착 원리와 섭취법 조합까지",https://cafe.naver.com/ca-fe/cafes/31750108/articles/12
6,2026-07-04 00:28,localtable702,소원 1,10,8,bigfish773,고래낚시 1,"올리브오일 효능과 발연점, 가짜 구별하는 법까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/10
7,2026-07-04 00:28,mealtalkdht,빨간모자앤 1,11,6,eghfsa5478,오세아니야 1,"회사 답례품 상황별 추천과 예산, 대량 주문 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/11
8,2026-07-04 00:28,menunote702,똑똑한건희씨,1,8,dq1h3bjy,"에스앤비안과, 29년 경력 (노출)",맛집 메뉴수첩 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750111/articles/1
9,2026-07-04 00:28,petinfo183,티니피쉬 1,11,8,ghostrush7,실눈캐,"부천 PT 비용과 횟수, 효과와 트레이너 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/11
10,2026-07-04 00:28,tableclub702,고래낚시 1,11,8,geenl,모험 - 교체,"방역 업체 비용과 해충별 방법, 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/11
11,2026-07-04 00:28,talkmadang702,햄부기,12,8,hagyga,에스앤비안과의원 - 교체,"SAT학원 선택 후기, 디지털 시험 대비와 학원 종류 그리고 비용까지",https://cafe.naver.com/ca-fe/cafes/31750104/articles/12
12,2026-07-04 00:28,dogwalk2m4,강아지강하지 1,10,8,n7c3w8z2,고양이밥 1,"헤어드라이기 풍속과 바람 세기, 빨리 마르는 원리와 선택 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/10
13,2026-07-04 00:28,driveee,운연정,23,7,h9ag469z,에스앤비안과 정보,군대 깔창 소재별 고르는 기준과 행군·반입까지,https://cafe.naver.com/ca-fe/cafes/31746635/articles/23
14,2026-07-04 00:28,habitnote702,룰루랄라 2 (12개) 1,11,8,k7d9x2m4,강아지강하지 1,"강아지 영양제 종류와 연령별 급여 기준, 과다 주의",https://cafe.naver.com/ca-fe/cafes/31750105/articles/11
15,2026-07-04 00:28,healthhhh,가중건다,19,8,laghunter8,도도 1,"족저근막염 깔창 효과와 고르는 기준, 관리법까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/19
16,2026-07-04 00:28,infomadang702,실눈캐,10,8,pixelninja3,건강박사석사 1,"마운자로 요요 겪은 후기, 중단 후 재증가 원인과 유지 전략까지",https://cafe.naver.com/ca-fe/cafes/31750108/articles/10
17,2026-07-04 00:28,localtable702,소원 1,6,8,produce11745,가중건다,"마운자로 요요 오는 원인과 방지법, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/6
