sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-08 00:51,carelog702,고구마스틱2 (10개) 1,22,3,ahsxkfldk12,쉽고간단하게,"프로포즈반지 예산과 사이즈, 실패 없이 준비하는 법",https://cafe.naver.com/ca-fe/cafes/31750106/articles/22
2,2026-07-08 00:51,dogwalk2m4,강아지강하지 1,21,3,alsrudgus531,운연정,"헤어에센스 효과와 크림 오일 차이, 바르는 타이밍과 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/21
3,2026-07-08 00:52,driveee,운연정,51,3,ahffkdlek12,바삭바삭해 1,부모님 선물 추천 리스트 취향에 맞게,https://cafe.naver.com/ca-fe/cafes/31746635/articles/51
4,2026-07-08 00:52,healthhhh,가중건다,52,3,ahfflwl123,햄부기,부모님선물 추천 리스트 (선물 총정리),https://cafe.naver.com/ca-fe/cafes/31746910/articles/52
5,2026-07-08 00:52,localtable702,소원 1,33,3,bigfish773,고래낚시 1,"SAT학원 종류와 고르는 기준, 디지털 SAT 대비법",https://cafe.naver.com/ca-fe/cafes/31750113/articles/33
6,2026-07-08 00:52,mealtalkdht,빨간모자앤 1,21,2,eghfsa5478,오세아니야 1,"아산 웨딩홀 식대와 대관료, 교통과 보증인원 비교",https://cafe.naver.com/ca-fe/cafes/31750099/articles/21
7,2026-07-08 00:53,menunote702,똑똑한건희씨,22,3,dq1h3bjy,"에스앤비안과, 29년 경력 (노출)",청소업체추천 입주청소 이사청소 평당 비용부터 업체s 고르는 기준까지,https://cafe.naver.com/ca-fe/cafes/31750111/articles/22
8,2026-07-08 00:53,petinfo183,티니피쉬 1,21,2,dhtksk1p,빨간모자앤  1,"날개없는 선풍기 원리와 장단점, 청소·안전까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/21
9,2026-07-08 00:53,tableclub702,고래낚시 1,32,3,h9ag469z,에스앤비안과 정보,"드라이기 고르는 기준과 모터 종류, 부가 기능까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/32
10,2026-07-08 00:53,talkmadang702,햄부기,12,10,laghunter8,도도 1,"SAT학원 선택 후기, 디지털 시험 대비와 학원 종류 그리고 비용까지",https://cafe.naver.com/ca-fe/cafes/31750104/articles/12
