sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-08 00:32,carelog702,고구마스틱2 (10개) 1,22,1,ahffkdlek12,바삭바삭해 1,"프로포즈반지 예산과 사이즈, 실패 없이 준비하는 법",https://cafe.naver.com/ca-fe/cafes/31750106/articles/22
2,2026-07-08 00:32,dogwalk2m4,강아지강하지 1,21,1,ahfflwl123,햄부기,"헤어에센스 효과와 크림 오일 차이, 바르는 타이밍과 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/21
3,2026-07-08 00:32,driveee,운연정,51,1,ahsxkfldk12,쉽고간단하게,부모님 선물 추천 리스트 취향에 맞게,https://cafe.naver.com/ca-fe/cafes/31746635/articles/51
4,2026-07-08 00:32,habitnote702,룰루랄라 2 (12개) 1,10,9,alsrudgus531,운연정,강아지 눈 영양제 성분과 눈물자국 백내장 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750105/articles/10
5,2026-07-08 00:32,healthhhh,가중건다,52,1,bigfish773,고래낚시 1,부모님선물 추천 리스트 (선물 총정리),https://cafe.naver.com/ca-fe/cafes/31746910/articles/52
6,2026-07-08 00:32,infomadang702,실눈캐,5,9,h9ag469z,에스앤비안과 정보,"에어컨청소업체 처음 불러본 후기, 벽걸이 스탠드 비용과 업체 고른 기준",https://cafe.naver.com/ca-fe/cafes/31750108/articles/5
7,2026-07-08 00:32,localtable702,소원 1,33,1,dhtksk1p,빨간모자앤  1,"SAT학원 종류와 고르는 기준, 디지털 SAT 대비법",https://cafe.naver.com/ca-fe/cafes/31750113/articles/33
8,2026-07-08 00:32,mealtalkdht,빨간모자앤 1,21,1,dq1h3bjy,"에스앤비안과, 29년 경력 (노출)","아산 웨딩홀 식대와 대관료, 교통과 보증인원 비교",https://cafe.naver.com/ca-fe/cafes/31750099/articles/21
9,2026-07-08 00:32,menunote702,똑똑한건희씨,22,1,eghfsa5478,오세아니야 1,청소업체추천 입주청소 이사청소 평당 비용부터 업체s 고르는 기준까지,https://cafe.naver.com/ca-fe/cafes/31750111/articles/22
10,2026-07-08 00:32,petinfo183,티니피쉬 1,21,1,geenl,모험 - 교체,"날개없는 선풍기 원리와 장단점, 청소·안전까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/21
11,2026-07-08 00:32,tableclub702,고래낚시 1,32,1,ghostrush7,실눈캐,"드라이기 고르는 기준과 모터 종류, 부가 기능까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/32
12,2026-07-08 00:32,talkmadang702,햄부기,12,9,k7d9x2m4,강아지강하지 1,"SAT학원 선택 후기, 디지털 시험 대비와 학원 종류 그리고 비용까지",https://cafe.naver.com/ca-fe/cafes/31750104/articles/12
13,2026-07-08 00:32,carelog702,고구마스틱2 (10개) 1,21,1,hagyga,에스앤비안과의원 - 교체,종로 예물 가격이 백화점보다 싼 이유와 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750106/articles/21
14,2026-07-08 00:32,dogwalk2m4,강아지강하지 1,20,1,laghunter8,도도 1,"웨딩밴드 소재와 제작 방식, 백금 화이트골드 차이까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/20
15,2026-07-08 00:32,driveee,운연정,50,1,n7c3w8z2,고양이밥 1,부모님 생신선물 추천 리스트 (가격대·브랜드),https://cafe.naver.com/ca-fe/cafes/31746635/articles/50
16,2026-07-08 00:32,habitnote702,룰루랄라 2 (12개) 1,6,10,pixelninja3,건강박사석사 1,"랩다이아 반지 예물로 괜찮을까, 세팅과 양가 설득까지",https://cafe.naver.com/ca-fe/cafes/31750105/articles/6
17,2026-07-08 00:32,healthhhh,가중건다,51,1,q9v3m7a2,포비 1,"부모님 생신선물 추천 리스트, 종류별로 골라드려요",https://cafe.naver.com/ca-fe/cafes/31746910/articles/51
18,2026-07-08 00:32,infomadang702,실눈캐,4,9,ahfflwl123,햄부기,"쿼드쎄라 펜타 두 달 써본 후기, 티탄과 뭐가 다른지 5중 주파수 정리",https://cafe.naver.com/ca-fe/cafes/31750108/articles/4
