ownerName,cafeSlug,cafeId,cafeUrl,articleId,subject,nickname,menuName,readCount,likeCount,commentCount,writeDateKst,articleUrl
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,25,"할아버지 생신선물 추천 리스트, 가격대별 총정리",,자유게시판,3,0,0,2026-07-03 13:50,https://cafe.naver.com/ca-fe/cafes/31746910/articles/25
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,24,"흑염소즙 효능부터 고르는 법, 부작용까지 알아봤어요",,자유게시판,1,0,0,2026-07-03 13:10,https://cafe.naver.com/ca-fe/cafes/31746910/articles/24
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,23,"흑염소즙 효능과 선택기준, 부작용까지 (복날대비)",,자유게시판,0,0,0,2026-07-03 13:05,https://cafe.naver.com/ca-fe/cafes/31746910/articles/23
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,22,"신발깔창 종류와 고르는 기준, 냄새 관리까지",,자유게시판,0,0,0,2026-07-02 13:47,https://cafe.naver.com/ca-fe/cafes/31746910/articles/22
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,21,"족저근막염 신발 고르는 기준, 피해야 할 신발까지",,자유게시판,10,1,0,2026-07-02 13:47,https://cafe.naver.com/ca-fe/cafes/31746910/articles/21
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,20,"아치깔창 고르는 기준, 평발과 요족 구분부터",,자유게시판,1,0,0,2026-07-02 13:46,https://cafe.naver.com/ca-fe/cafes/31746910/articles/20
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,12,"산삼 효능 제대로 알기, 귀한 보약의 진짜 가치",,자유게시판,0,0,0,2026-07-01 22:45,https://cafe.naver.com/ca-fe/cafes/31746910/articles/12
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,11,"홍삼 효능 총정리, 챙기기 전에 알아두면 좋은 것들",,자유게시판,14,0,0,2026-07-01 22:28,https://cafe.naver.com/ca-fe/cafes/31746910/articles/11
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,9,"흑염소진액 선택기준, 흑염소즙 이것만 보면 실패 없어요",,자유게시판,1,0,0,2026-07-01 19:01,https://cafe.naver.com/ca-fe/cafes/31746910/articles/9
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,8,"흑염소진액 효능 총정리, 기력 떨어졌을 때 왜 찾을까",,자유게시판,0,0,0,2026-07-01 11:34,https://cafe.naver.com/ca-fe/cafes/31746910/articles/8
