sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 00:49,babsangnote702,맛집 밥상노트,12,7,ahffkdlek12,바삭바삭해 1,"파운다요 효과와 부작용, 먹는 위고비와 다른 점까지",https://cafe.naver.com/ca-fe/cafes/31750114/articles/12
2,2026-07-10 00:49,carelog702,고구마스틱2 (10개) 1,30,1,ahffkekd12,긍정이백퍼  1,드라이기 추천 드디어 찾은 제품,https://cafe.naver.com/ca-fe/cafes/31750106/articles/30
3,2026-07-10 00:50,dogwalk2m4,강아지강하지 1,38,1,ahfflwl123,햄부기,"드라이기 모터와 온도, 음이온 효과와 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/38
4,2026-07-10 00:51,driveee,운연정,81,1,ahsxkfldk12,쉽고간단하게,아버지 생신선물 추천 고민이라면,https://cafe.naver.com/ca-fe/cafes/31746635/articles/81
5,2026-07-10 00:52,habitnote702,룰루랄라 2 (12개) 1,33,1,alsrudgus531,운연정,종로예물 투어 하러 다녀온 후기,https://cafe.naver.com/ca-fe/cafes/31750105/articles/33
6,2026-07-10 00:52,healthhhh,가중건다,83,1,bigfish773,고래낚시 1,아버지 생신선물 추천 고민 끝!,https://cafe.naver.com/ca-fe/cafes/31746910/articles/83
7,2026-07-10 00:53,infomadang702,실눈캐,30,1,dhtksk1p,빨간모자앤  1,결혼예물 준비하며 배운 것들 꿀팁,https://cafe.naver.com/ca-fe/cafes/31750108/articles/30
8,2026-07-10 00:54,localtable702,소원 1,53,1,dq1h3bjy,"에스앤비안과, 29년 경력 (노출)","회사 답례품 대상 범위와 단가, 돌리는 시점까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/53
9,2026-07-10 00:55,mealtalkdht,빨간모자앤 1,39,1,eghfsa5478,오세아니야 1,"푸룬주스 효능과 하루 섭취량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/39
10,2026-07-10 00:55,menunote702,똑똑한건희씨,38,1,geenl,모험 - 교체,"인천 웨딩홀 보증인원과 식대, 계약 전 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750111/articles/38
11,2026-07-10 00:56,petinfo183,티니피쉬 1,31,1,ghostrush7,실눈캐,"에어컨 청소 비용과 분해 공정, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/31
12,2026-07-10 00:57,petnote702,애견 반려수첩,1,1,h9ag469z,에스앤비안과 정보,애견 반려수첩 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750109/articles/1
13,2026-07-10 00:58,tableclub702,고래낚시 1,42,1,hagyga,에스앤비안과의원 - 교체,"부천 웨딩홀 계약금과 위약금 규정, 해지 기준까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/42
14,2026-07-10 00:58,talkmadang702,햄부기,41,1,k7d9x2m4,강아지강하지 1,"선풍기 고장났을 때, 고칠까 바꿀까 판단하는 법",https://cafe.naver.com/ca-fe/cafes/31750104/articles/41
15,2026-07-10 00:59,walknote702,애견 산책노트,1,1,laghunter8,도도 1,애견 산책노트 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750107/articles/1
16,2026-07-10 01:00,babsangnote702,맛집 밥상노트,5,8,pixelninja3,건강박사석사 1,쿼드쎄라 펜타 제형별 차이와 함량 비교해보니,https://cafe.naver.com/ca-fe/cafes/31750114/articles/5
17,2026-07-10 01:01,carelog702,고구마스틱2 (10개) 1,29,1,n7c3w8z2,고양이밥 1,"헤어드라이어 스펙 보는 법, 모터·출력·무게 이 순서로만 확인하세요",https://cafe.naver.com/ca-fe/cafes/31750106/articles/29
18,2026-07-10 01:01,dogwalk2m4,강아지강하지 1,37,1,produce11745,가중건다,"부천 PT 가격과 효과, 환불 규정까지 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/37
19,2026-07-10 01:02,driveee,운연정,80,1,q9v3m7a2,포비 1,아빠 생일선물 추천 리스트 (스타일별·나이대별 총정리),https://cafe.naver.com/ca-fe/cafes/31746635/articles/80
20,2026-07-10 01:03,habitnote702,룰루랄라 2 (12개) 1,32,1,vegetable10517,렙용,"명품반지브랜드 세 곳 돌아본 후기, 로망과 현실 사이",https://cafe.naver.com/ca-fe/cafes/31750105/articles/32
