sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 07:01,carelog702,고구마스틱2 (10개) 1,30,3,ahffkdlek12,바삭바삭해 1,드라이기 추천 드디어 찾은 제품,https://cafe.naver.com/ca-fe/cafes/31750106/articles/30
2,2026-07-10 07:02,dogwalk2m4,강아지강하지 1,38,3,ahsxkfldk12,쉽고간단하게,"드라이기 모터와 온도, 음이온 효과와 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/38
3,2026-07-10 07:02,driveee,운연정,81,4,ahffkekd12,긍정이백퍼  1,아버지 생신선물 추천 고민이라면,https://cafe.naver.com/ca-fe/cafes/31746635/articles/81
4,2026-07-10 07:03,habitnote702,룰루랄라 2 (12개) 1,33,4,ahfflwl123,햄부기,종로예물 투어 하러 다녀온 후기,https://cafe.naver.com/ca-fe/cafes/31750105/articles/33
5,2026-07-10 07:04,healthhhh,가중건다,83,4,alsrudgus531,운연정,아버지 생신선물 추천 고민 끝!,https://cafe.naver.com/ca-fe/cafes/31746910/articles/83
6,2026-07-10 07:05,infomadang702,실눈캐,30,4,bigfish773,고래낚시 1,결혼예물 준비하며 배운 것들 꿀팁,https://cafe.naver.com/ca-fe/cafes/31750108/articles/30
7,2026-07-10 07:05,localtable702,소원 1,53,5,dhtksk1p,빨간모자앤  1,"회사 답례품 대상 범위와 단가, 돌리는 시점까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/53
8,2026-07-10 07:06,mealtalkdht,빨간모자앤 1,39,2,eghfsa5478,오세아니야 1,"푸룬주스 효능과 하루 섭취량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/39
9,2026-07-10 07:07,menunote702,똑똑한건희씨,38,5,ghostrush7,실눈캐,"인천 웨딩홀 보증인원과 식대, 계약 전 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750111/articles/38
10,2026-07-10 07:08,petinfo183,티니피쉬 1,31,4,geenl,모험 - 교체,"에어컨 청소 비용과 분해 공정, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/31
11,2026-07-10 07:08,petnote702,티니피쉬 1,1,7,k7d9x2m4,강아지강하지 1,애견 반려수첩 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750109/articles/1
12,2026-07-10 07:09,tableclub702,고래낚시 1,42,5,laghunter8,도도 1,"부천 웨딩홀 계약금과 위약금 규정, 해지 기준까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/42
13,2026-07-10 07:10,talkmadang702,햄부기,41,5,n7c3w8z2,고양이밥 1,"선풍기 고장났을 때, 고칠까 바꿀까 판단하는 법",https://cafe.naver.com/ca-fe/cafes/31750104/articles/41
14,2026-07-10 07:11,walknote702,강아지강하지 1,1,4,pixelninja3,건강박사석사 1,애견 산책노트 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750107/articles/1
15,2026-07-10 07:11,carelog702,고구마스틱2 (10개) 1,29,4,produce11745,가중건다,"헤어드라이어 스펙 보는 법, 모터·출력·무게 이 순서로만 확인하세요",https://cafe.naver.com/ca-fe/cafes/31750106/articles/29
16,2026-07-10 07:12,dogwalk2m4,강아지강하지 1,37,3,q9v3m7a2,포비 1,"부천 PT 가격과 효과, 환불 규정까지 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/37
17,2026-07-10 07:13,driveee,운연정,80,3,vegetable10517,렙용,아빠 생일선물 추천 리스트 (스타일별·나이대별 총정리),https://cafe.naver.com/ca-fe/cafes/31746635/articles/80
18,2026-07-10 07:14,habitnote702,룰루랄라 2 (12개) 1,32,5,ahffkdlek12,바삭바삭해 1,"명품반지브랜드 세 곳 돌아본 후기, 로망과 현실 사이",https://cafe.naver.com/ca-fe/cafes/31750105/articles/32
19,2026-07-10 07:14,healthhhh,가중건다,82,4,ahffkekd12,긍정이백퍼  1,60대 아빠 생일선물 리스트 (가격대·브랜드별),https://cafe.naver.com/ca-fe/cafes/31746910/articles/82
20,2026-07-10 07:15,infomadang702,실눈캐,28,3,ahfflwl123,햄부기,예물 후회 없이 할 수 있는 방법,https://cafe.naver.com/ca-fe/cafes/31750108/articles/28
21,2026-07-10 07:16,localtable702,소원 1,52,5,ahsxkfldk12,쉽고간단하게,"인천 웨딩홀 보증인원과 식대 구조, 계약 전 확인할 항목까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/52
22,2026-07-10 07:17,mealtalkdht,빨간모자앤 1,38,4,alsrudgus531,운연정,"평발 깔창 효과와 유연성 강직성 구분, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/38
23,2026-07-10 07:17,menunote702,똑똑한건희씨,37,6,bigfish773,고래낚시 1,"올리브오일 등급과 산도, 가열 가능 온도까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/37
24,2026-07-10 07:18,petinfo183,티니피쉬 1,30,3,dhtksk1p,빨간모자앤  1,"방역업체 소독 의무 대상과 법정 횟수, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/30
25,2026-07-10 07:19,tableclub702,고래낚시 1,41,3,eghfsa5478,오세아니야 1,광주 웨딩홀 보증인원 상승과 비용 절감 방법까지,https://cafe.naver.com/ca-fe/cafes/31750110/articles/41
26,2026-07-10 07:20,talkmadang702,햄부기,40,4,geenl,모험 - 교체,"강아지 관절 영양제, 언제부터 시작해야 늦지 않을까",https://cafe.naver.com/ca-fe/cafes/31750104/articles/40
27,2026-07-10 07:20,carelog702,고구마스틱2 (10개) 1,28,4,ghostrush7,실눈캐,종로 금은방 가기전 시세부터 알고 가세요,https://cafe.naver.com/ca-fe/cafes/31750106/articles/28
28,2026-07-10 07:21,dogwalk2m4,강아지강하지 1,36,2,laghunter8,도도 1,"밀크씨슬 효능과 실리마린 함량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/36
29,2026-07-10 07:22,driveee,운연정,79,1,k7d9x2m4,강아지강하지 1,50대 아빠 생일선물 추천 (취미·실용·가격대),https://cafe.naver.com/ca-fe/cafes/31746635/articles/79
30,2026-07-10 07:23,habitnote702,룰루랄라 2 (12개) 1,31,5,n7c3w8z2,고양이밥 1,"14K커플링 맞춘 후기, 실버에서 넘어온 이유",https://cafe.naver.com/ca-fe/cafes/31750105/articles/31
31,2026-07-10 07:23,healthhhh,가중건다,81,5,pixelninja3,건강박사석사 1,남자친구 부모님선물 부담 없이 고르는 법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/81
32,2026-07-10 07:24,infomadang702,실눈캐,27,4,produce11745,가중건다,반지를 한 번도 껴본 적 없는 남자의 웨딩반지 고르기,https://cafe.naver.com/ca-fe/cafes/31750108/articles/27
33,2026-07-10 07:25,localtable702,소원 1,51,5,q9v3m7a2,포비 1,"위고비 알약 효과와 복용법, 국내 출시와 가격까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/51
34,2026-07-10 07:26,mealtalkdht,빨간모자앤 1,37,4,vegetable10517,렙용,커플링브랜드 실버 14k 가격과 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750099/articles/37
35,2026-07-10 07:26,menunote702,똑똑한건희씨,36,1,ahffkdlek12,바삭바삭해 1,"알파CD 효능과 하루 섭취량, 지방 흡착 근거까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/36
36,2026-07-10 07:27,petinfo183,티니피쉬 1,29,4,ahffkekd12,긍정이백퍼  1,"입주청소 평당 단가와 추가금, 청소업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/29
37,2026-07-10 07:28,tableclub702,고래낚시 1,40,4,ahfflwl123,햄부기,"부평 웨딩홀 역세권 위치와 주차, 하객 동선 기준",https://cafe.naver.com/ca-fe/cafes/31750110/articles/40
