cafeSlug,ownerName,cafeId,articleId,count,need,title,articleUrl
driveee,운연정,31746635,10,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/10
driveee,운연정,31746635,11,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/11
driveee,운연정,31746635,16,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/16
healthhhh,가중건다,31746910,10,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746910/articles/10
petinfo183,티니피쉬 1,31750098,5,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/5
driveee,운연정,31746635,1,5,3,"운연정 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31746635/articles/1
driveee,운연정,31746635,2,5,3,"서울운전연수 가격 / 8년 장롱 탈출 찐후기 4일 만에 혼자 강변북로 탔어요",https://cafe.naver.com/ca-fe/cafes/31746635/articles/2
driveee,운연정,31746635,5,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/5
driveee,운연정,31746635,7,5,3,"인천운전연수 비용이랑 업체 고르는 법 솔직후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/7
driveee,운연정,31746635,8,5,3,"동탄운전연수 받기 전 꼭 알아야 할 6가지, 수원운전연수 참고",https://cafe.naver.com/ca-fe/cafes/31746635/articles/8
driveee,운연정,31746635,15,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/15
petinfo183,티니피쉬 1,31750098,1,5,3,"애견 반려정보 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31750098/articles/1
petinfo183,티니피쉬 1,31750098,2,5,3,"해충 방역업체 선택법과 방제 방식, 업종별 비용 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/2
petinfo183,티니피쉬 1,31750098,3,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/3
dogwalk2m4,강아지강하지 1,31750100,3,6,2,"드라이기 잘못 쓰면 모발 손상, 흔한 실수와 안전 사용법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/3
dogwalk2m4,강아지강하지 1,31750100,8,6,2,"인천웨딩홀 대관료와 식대, 보증인원까지 예산 짜는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/8
driveee,운연정,31746635,4,6,2,"수원운전연수 비용부터 업체 고르는 법까지, 장롱면허 7년차가 10시간 다녀온 솔직후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/4
driveee,운연정,31746635,6,6,2,"의정부운전연수 비용 업체 고르는 법, 12년 장롱면허가 솔직하게 푼 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/6
driveee,운연정,31746635,9,6,2,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/9
driveee,운연정,31746635,12,6,2,"수원운전연수 비용 선택기준 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/12
driveee,운연정,31746635,13,6,2,"서울운전연수 5년 장롱면허 내돈내산 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/13
