sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 10:57,dogwalk2m4,강아지강하지 1,37,8,ahffkdlek12,바삭바삭해 1,"부천 PT 가격과 효과, 환불 규정까지 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/37
2,2026-07-10 10:58,driveee,운연정,81,8,eghfsa5478,오세아니야 1,아버지 생신선물 추천 고민이라면,https://cafe.naver.com/ca-fe/cafes/31746635/articles/81
3,2026-07-10 10:59,healthhhh,가중건다,82,7,ahfflwl123,햄부기,60대 아빠 생일선물 리스트 (가격대·브랜드별),https://cafe.naver.com/ca-fe/cafes/31746910/articles/82
4,2026-07-10 10:59,mealtalkdht,빨간모자앤 1,39,8,ahffkekd12,긍정이백퍼  1,"푸룬주스 효능과 하루 섭취량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/39
5,2026-07-10 11:00,petinfo183,티니피쉬 1,31,6,alsrudgus531,운연정,"에어컨 청소 비용과 분해 공정, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/31
6,2026-07-10 11:01,dogwalk2m4,강아지강하지 1,36,8,bigfish773,고래낚시 1,"밀크씨슬 효능과 실리마린 함량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/36
7,2026-07-10 11:02,driveee,운연정,80,8,geenl,모험 - 교체,아빠 생일선물 추천 리스트 (스타일별·나이대별 총정리),https://cafe.naver.com/ca-fe/cafes/31746635/articles/80
8,2026-07-10 11:02,healthhhh,가중건다,80,8,ahsxkfldk12,쉽고간단하게,흑염소진액 효과 복용법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/80
9,2026-07-10 11:03,mealtalkdht,빨간모자앤 1,38,8,ghostrush7,실눈캐,"평발 깔창 효과와 유연성 강직성 구분, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/38
10,2026-07-10 11:04,petinfo183,티니피쉬 1,30,7,n7c3w8z2,고양이밥 1,"방역업체 소독 의무 대상과 법정 횟수, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/30
11,2026-07-10 11:05,dogwalk2m4,강아지강하지 1,35,7,pixelninja3,건강박사석사 1,"울산 마운자로 처방 기준과 용량별 가격, 성지 판별법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/35
12,2026-07-10 11:05,driveee,운연정,79,6,dhtksk1p,빨간모자앤  1,50대 아빠 생일선물 추천 (취미·실용·가격대),https://cafe.naver.com/ca-fe/cafes/31746635/articles/79
13,2026-07-10 11:06,healthhhh,가중건다,79,7,k7d9x2m4,강아지강하지 1,"SAT학원 수강료와 디지털 시험 대비, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746910/articles/79
14,2026-07-10 11:07,mealtalkdht,빨간모자앤 1,36,7,produce11745,가중건다,"장에 좋은 음식과 발효식품 섭취량, 피할 음식까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/36
15,2026-07-10 11:08,petinfo183,티니피쉬 1,29,6,q9v3m7a2,포비 1,"입주청소 평당 단가와 추가금, 청소업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/29
16,2026-07-10 11:08,dogwalk2m4,강아지강하지 1,32,7,laghunter8,도도 1,"장바구니 캐리어 용량과 바퀴 종류, 가격대별 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/32
17,2026-07-10 11:09,driveee,운연정,77,8,vegetable10517,렙용,"올리브오일 산패 확인법과 가짜 구별, 보관 온도 기준까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/77
18,2026-07-10 11:10,healthhhh,가중건다,74,8,ahffkdlek12,바삭바삭해 1,"흑염소진액 부작용 총정리, 효능·고르는 법까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/74
19,2026-07-10 11:11,mealtalkdht,빨간모자앤 1,35,8,ahsxkfldk12,쉽고간단하게,웨딩링 추천 종로 브랜드 가격 차이와 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750099/articles/35
20,2026-07-10 11:11,petinfo183,티니피쉬 1,28,5,ahffkekd12,긍정이백퍼  1,"시스템에어컨 청소 비용과 차이, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/28
21,2026-07-10 11:12,dogwalk2m4,강아지강하지 1,30,7,alsrudgus531,운연정,"18K 결혼반지가 인기인 이유, 14K와 뭐가 다른지 정리했습니다",https://cafe.naver.com/ca-fe/cafes/31750100/articles/30
22,2026-07-10 11:13,driveee,운연정,76,8,bigfish773,고래낚시 1,"신발깔창 교체 주기와 소재별 수명, 위생 관리 기준까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/76
23,2026-07-10 11:14,healthhhh,가중건다,73,8,ahfflwl123,햄부기,"올리브오일 등급과 폴리페놀 기준, 발연점과 고르는 법까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/73
24,2026-07-10 11:14,mealtalkdht,빨간모자앤 1,32,7,eghfsa5478,오세아니야 1,"깔창 효과와 종류별 가격, 평발 요족 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/32
25,2026-07-10 11:15,petinfo183,티니피쉬 1,27,6,ghostrush7,실눈캐,"인천 웨딩홀 식대와 대관료, 계약 전 위약금 확인법",https://cafe.naver.com/ca-fe/cafes/31750098/articles/27
26,2026-07-10 11:16,dogwalk2m4,강아지강하지 1,29,7,dhtksk1p,빨간모자앤  1,"다이아몬드반지 살 때 4C만 알면 됩니다, 초보를 위한 등급 가이드",https://cafe.naver.com/ca-fe/cafes/31750100/articles/29
27,2026-07-10 11:17,driveee,운연정,74,7,geenl,모험 - 교체,"아치깔창 효과와 내 아치 측정법, 유형별 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/74
28,2026-07-10 11:17,healthhhh,가중건다,70,7,k7d9x2m4,강아지강하지 1,부모님 첫인사 선물 고르는 법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/70
29,2026-07-10 11:18,mealtalkdht,빨간모자앤 1,31,7,laghunter8,도도 1,"강아지 눈 영양제 효과와 성분, 눈물자국 백내장 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/31
30,2026-07-10 11:19,petinfo183,티니피쉬 1,26,6,n7c3w8z2,고양이밥 1,"의정부 웨딩홀 하객수와 보증인원, 홀 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/26
31,2026-07-10 11:20,dogwalk2m4,강아지강하지 1,27,6,pixelninja3,건강박사석사 1,"날개없는 선풍기, 정말 날개가 없을까? 원리와 장단점 총정리",https://cafe.naver.com/ca-fe/cafes/31750100/articles/27
