sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 16:42,babsangnote702,빨간모자앤  1,12,9,ahffkekd12,긍정이백퍼  1,"파운다요 효과와 부작용, 먹는 위고비와 다른 점까지",https://cafe.naver.com/ca-fe/cafes/31750114/articles/12
2,2026-07-10 16:42,carelog702,고구마스틱2 (10개) 1,22,9,bigfish773,고래낚시 1,"프로포즈반지 예산과 사이즈, 실패 없이 준비하는 법",https://cafe.naver.com/ca-fe/cafes/31750106/articles/22
3,2026-07-10 16:43,dogwalk2m4,강아지강하지 1,38,9,eghfsa5478,오세아니야 1,"드라이기 모터와 온도, 음이온 효과와 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/38
4,2026-07-10 16:44,driveee,운연정,81,9,geenl,모험 - 교체,아버지 생신선물 추천 고민이라면,https://cafe.naver.com/ca-fe/cafes/31746635/articles/81
5,2026-07-10 16:45,habitnote702,룰루랄라 2 (12개) 1,23,9,ahffkdlek12,바삭바삭해 1,"선풍기 오래 쓰는 법, 청소부터 안전 관리까지 총정리",https://cafe.naver.com/ca-fe/cafes/31750105/articles/23
6,2026-07-10 16:45,healthhhh,가중건다,81,9,ahfflwl123,햄부기,남자친구 부모님선물 부담 없이 고르는 법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/81
7,2026-07-10 16:46,infomadang702,실눈캐,27,9,alsrudgus531,운연정,반지를 한 번도 껴본 적 없는 남자의 웨딩반지 고르기,https://cafe.naver.com/ca-fe/cafes/31750108/articles/27
8,2026-07-10 16:47,localtable702,소원 1,53,9,ghostrush7,실눈캐,"회사 답례품 대상 범위와 단가, 돌리는 시점까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/53
9,2026-07-10 16:48,mealtalkdht,빨간모자앤 1,39,9,laghunter8,도도 1,"푸룬주스 효능과 하루 섭취량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/39
10,2026-07-10 16:48,menunote702,똑똑한건희씨,38,9,dhtksk1p,빨간모자앤  1,"인천 웨딩홀 보증인원과 식대, 계약 전 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750111/articles/38
11,2026-07-10 16:49,petinfo183,티니피쉬 1,30,8,n7c3w8z2,고양이밥 1,"방역업체 소독 의무 대상과 법정 횟수, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/30
12,2026-07-10 16:50,petnote702,티니피쉬 1,1,9,ahsxkfldk12,쉽고간단하게,애견 반려수첩 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750109/articles/1
13,2026-07-10 16:51,tableclub702,고래낚시 1,40,9,produce11745,가중건다,"부평 웨딩홀 역세권 위치와 주차, 하객 동선 기준",https://cafe.naver.com/ca-fe/cafes/31750110/articles/40
14,2026-07-10 16:51,talkmadang702,햄부기,41,9,q9v3m7a2,포비 1,"선풍기 고장났을 때, 고칠까 바꿀까 판단하는 법",https://cafe.naver.com/ca-fe/cafes/31750104/articles/41
15,2026-07-10 16:52,babsangnote702,빨간모자앤  1,10,9,pixelninja3,건강박사석사 1,"베르가못 효능과 부작용, 폴리페놀 고르는 기준과 복용법",https://cafe.naver.com/ca-fe/cafes/31750114/articles/10
16,2026-07-10 16:53,carelog702,고구마스틱2 (10개) 1,19,9,k7d9x2m4,강아지강하지 1,"예물반지 예산 배분과 품목, 후회 없이 정하는 기준",https://cafe.naver.com/ca-fe/cafes/31750106/articles/19
17,2026-07-10 16:54,dogwalk2m4,강아지강하지 1,37,9,vegetable10517,렙용,"부천 PT 가격과 효과, 환불 규정까지 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/37
18,2026-07-10 16:54,driveee,운연정,80,9,ahffkdlek12,바삭바삭해 1,아빠 생일선물 추천 리스트 (스타일별·나이대별 총정리),https://cafe.naver.com/ca-fe/cafes/31746635/articles/80
