scope,cafeSlug,ownerName,cafeId,articleId,commentCount,needTo8,writeDateKst,nickname,subject,articleUrl
new,carelog702,고구마스틱2 (10개) 1,31750106,22,0,8,2026-07-06 15:49,"","프로포즈반지 예산과 사이즈, 실패 없이 준비하는 법",https://cafe.naver.com/ca-fe/cafes/31750106/articles/22
new,carelog702,고구마스틱2 (10개) 1,31750106,21,0,8,2026-07-06 15:48,"","종로 예물 가격이 백화점보다 싼 이유와 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750106/articles/21
new,carelog702,고구마스틱2 (10개) 1,31750106,20,0,8,2026-07-06 15:47,"","웨딩링과 웨딩밴드 차이, 구입처별 가격과 디자인 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/20
new,carelog702,고구마스틱2 (10개) 1,31750106,19,0,8,2026-07-06 15:47,"","예물반지 예산 배분과 품목, 후회 없이 정하는 기준",https://cafe.naver.com/ca-fe/cafes/31750106/articles/19
new,carelog702,고구마스틱2 (10개) 1,31750106,18,0,8,2026-07-06 15:46,"","선풍기 종류와 모터별 차이, 날개 크기와 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/18
new,carelog702,고구마스틱2 (10개) 1,31750106,17,0,8,2026-07-06 15:45,"","랩다이아반지란 무엇인가, 천연 비교와 시세까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/17
new,carelog702,고구마스틱2 (10개) 1,31750106,16,0,8,2026-07-06 15:45,"","강아지 영양제 종류와 나이별 우선순위, 중복 급여 주의사항까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/16
new,carelog702,고구마스틱2 (10개) 1,31750106,15,0,8,2026-07-06 15:44,"","강아지 눈 영양제 성분과 눈물자국 백내장별 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/15
new,carelog702,고구마스틱2 (10개) 1,31750106,14,0,8,2026-07-06 15:43,"","강아지 관절 영양제 성분과 효과, 슬개골 탈구별 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/14
new,carelog702,고구마스틱2 (10개) 1,31750106,13,0,8,2026-07-06 15:43,"","5부 다이아반지 4C 등급과 가격, 감정서 보는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/13
new,dogwalk2m4,강아지강하지 1,31750100,21,0,8,2026-07-06 15:32,"","헤어에센스 효과와 크림 오일 차이, 바르는 타이밍과 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/21
new,dogwalk2m4,강아지강하지 1,31750100,20,0,8,2026-07-06 15:32,"","웨딩밴드 소재와 제작 방식, 백금 화이트골드 차이까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/20
new,dogwalk2m4,강아지강하지 1,31750100,19,0,8,2026-07-06 15:31,"","여성 청바지 핏 종류와 체형별 고르는 기준, 사이즈 실측까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/19
new,dogwalk2m4,강아지강하지 1,31750100,18,0,8,2026-07-06 15:31,"","미용실 드라이기가 빨리 마르는 이유와 가정용 차이, 고를 때 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/18
new,dogwalk2m4,강아지강하지 1,31750100,17,0,8,2026-07-06 15:30,"","랩다이아몬드 천연 차이와 가격, 감정서 보는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/17
new,dogwalk2m4,강아지강하지 1,31750100,16,0,8,2026-07-06 15:30,"","드라이기 추천 기준과 모터 소비전력 차이, 고르는 법까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/16
new,dogwalk2m4,강아지강하지 1,31750100,15,0,8,2026-07-06 15:29,"","다이아반지 4C 등급과 가격, 예산별 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/15
new,dogwalk2m4,강아지강하지 1,31750100,14,0,8,2026-07-06 15:28,"","결혼반지 예산과 4C 등급, 재질별 차이와 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/14
new,dogwalk2m4,강아지강하지 1,31750100,13,0,8,2026-07-06 15:28,"","3부다이아반지 실제 크기와 가격, 예물로 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/13
new,dogwalk2m4,강아지강하지 1,31750100,12,0,8,2026-07-06 15:27,"","1캐럿다이아반지 가격과 등급별 시세, 지금 사도 되나",https://cafe.naver.com/ca-fe/cafes/31750100/articles/12
new,driveee,운연정,31746635,51,0,8,2026-07-07 21:59,"","부모님 선물 추천 리스트 취향에 맞게",https://cafe.naver.com/ca-fe/cafes/31746635/articles/51
new,driveee,운연정,31746635,50,0,8,2026-07-07 20:18,"","부모님 생신선물 추천 리스트 (가격대·브랜드)",https://cafe.naver.com/ca-fe/cafes/31746635/articles/50
new,driveee,운연정,31746635,47,0,8,2026-07-06 21:33,"","시아버지 생신선물 추천 선택기준",https://cafe.naver.com/ca-fe/cafes/31746635/articles/47
new,driveee,운연정,31746635,46,0,8,2026-07-06 21:30,"","시아버지 생신선물 추천 리스트, 취미와 체질까지 챙겨요",https://cafe.naver.com/ca-fe/cafes/31746635/articles/46
new,driveee,운연정,31746635,45,0,8,2026-07-06 20:55,"","시어머니 생신선물 추천 리스트 (카테고리·예산·연령별 총정리)",https://cafe.naver.com/ca-fe/cafes/31746635/articles/45
new,driveee,운연정,31746635,44,0,8,2026-07-06 20:49,"","시어머니 생신선물 추천 (가격대·브랜드)",https://cafe.naver.com/ca-fe/cafes/31746635/articles/44
new,driveee,운연정,31746635,43,0,8,2026-07-06 14:42,"","먹는 위고비 알약 효과와 부작용, 가격과 국내 출시까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/43
new,driveee,운연정,31746635,42,0,8,2026-07-06 14:42,"","부평 웨딩홀 식대와 보증인원, 예식장 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746635/articles/42
