sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 06:39,babsangnote702,맛집 밥상노트,1,8,ahffkdlek12,바삭바삭해 1,맛집 밥상노트 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750114/articles/1
2,2026-07-10 06:39,carelog702,고구마스틱2 (10개) 1,30,2,ahfflwl123,햄부기,드라이기 추천 드디어 찾은 제품,https://cafe.naver.com/ca-fe/cafes/31750106/articles/30
3,2026-07-10 06:40,dogwalk2m4,강아지강하지 1,38,2,ahffkekd12,긍정이백퍼  1,"드라이기 모터와 온도, 음이온 효과와 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/38
4,2026-07-10 06:41,driveee,운연정,81,3,bigfish773,고래낚시 1,아버지 생신선물 추천 고민이라면,https://cafe.naver.com/ca-fe/cafes/31746635/articles/81
5,2026-07-10 06:42,habitnote702,룰루랄라 2 (12개) 1,33,4,ahsxkfldk12,쉽고간단하게,종로예물 투어 하러 다녀온 후기,https://cafe.naver.com/ca-fe/cafes/31750105/articles/33
6,2026-07-10 06:42,healthhhh,가중건다,83,4,alsrudgus531,운연정,아버지 생신선물 추천 고민 끝!,https://cafe.naver.com/ca-fe/cafes/31746910/articles/83
7,2026-07-10 06:43,infomadang702,실눈캐,30,4,eghfsa5478,오세아니야 1,결혼예물 준비하며 배운 것들 꿀팁,https://cafe.naver.com/ca-fe/cafes/31750108/articles/30
8,2026-07-10 06:44,localtable702,소원 1,53,5,dhtksk1p,빨간모자앤  1,"회사 답례품 대상 범위와 단가, 돌리는 시점까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/53
9,2026-07-10 06:45,mealtalkdht,빨간모자앤 1,39,2,geenl,모험 - 교체,"푸룬주스 효능과 하루 섭취량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/39
10,2026-07-10 06:45,menunote702,똑똑한건희씨,38,5,ghostrush7,실눈캐,"인천 웨딩홀 보증인원과 식대, 계약 전 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750111/articles/38
11,2026-07-10 06:46,petinfo183,티니피쉬 1,31,4,k7d9x2m4,강아지강하지 1,"에어컨 청소 비용과 분해 공정, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/31
12,2026-07-10 06:47,petnote702,애견 반려수첩,1,7,laghunter8,도도 1,애견 반려수첩 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750109/articles/1
13,2026-07-10 06:48,tableclub702,고래낚시 1,42,5,n7c3w8z2,고양이밥 1,"부천 웨딩홀 계약금과 위약금 규정, 해지 기준까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/42
14,2026-07-10 06:48,talkmadang702,햄부기,41,5,pixelninja3,건강박사석사 1,"선풍기 고장났을 때, 고칠까 바꿀까 판단하는 법",https://cafe.naver.com/ca-fe/cafes/31750104/articles/41
15,2026-07-10 06:49,walknote702,애견 산책노트,1,4,produce11745,가중건다,애견 산책노트 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750107/articles/1
16,2026-07-10 06:50,carelog702,고구마스틱2 (10개) 1,29,4,q9v3m7a2,포비 1,"헤어드라이어 스펙 보는 법, 모터·출력·무게 이 순서로만 확인하세요",https://cafe.naver.com/ca-fe/cafes/31750106/articles/29
17,2026-07-10 06:51,dogwalk2m4,강아지강하지 1,37,3,vegetable10517,렙용,"부천 PT 가격과 효과, 환불 규정까지 확인할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/37
18,2026-07-10 06:51,driveee,운연정,80,3,ahffkdlek12,바삭바삭해 1,아빠 생일선물 추천 리스트 (스타일별·나이대별 총정리),https://cafe.naver.com/ca-fe/cafes/31746635/articles/80
19,2026-07-10 06:52,habitnote702,룰루랄라 2 (12개) 1,32,5,ahffkekd12,긍정이백퍼  1,"명품반지브랜드 세 곳 돌아본 후기, 로망과 현실 사이",https://cafe.naver.com/ca-fe/cafes/31750105/articles/32
20,2026-07-10 06:53,healthhhh,가중건다,82,4,ahfflwl123,햄부기,60대 아빠 생일선물 리스트 (가격대·브랜드별),https://cafe.naver.com/ca-fe/cafes/31746910/articles/82
21,2026-07-10 06:54,infomadang702,실눈캐,28,3,ahsxkfldk12,쉽고간단하게,예물 후회 없이 할 수 있는 방법,https://cafe.naver.com/ca-fe/cafes/31750108/articles/28
22,2026-07-10 06:54,localtable702,소원 1,52,5,alsrudgus531,운연정,"인천 웨딩홀 보증인원과 식대 구조, 계약 전 확인할 항목까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/52
23,2026-07-10 06:55,mealtalkdht,빨간모자앤 1,38,4,bigfish773,고래낚시 1,"평발 깔창 효과와 유연성 강직성 구분, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/38
24,2026-07-10 06:56,menunote702,똑똑한건희씨,37,6,dhtksk1p,빨간모자앤  1,"올리브오일 등급과 산도, 가열 가능 온도까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/37
25,2026-07-10 06:57,petinfo183,티니피쉬 1,30,3,eghfsa5478,오세아니야 1,"방역업체 소독 의무 대상과 법정 횟수, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/30
26,2026-07-10 06:57,tableclub702,고래낚시 1,41,3,geenl,모험 - 교체,광주 웨딩홀 보증인원 상승과 비용 절감 방법까지,https://cafe.naver.com/ca-fe/cafes/31750110/articles/41
27,2026-07-10 06:58,talkmadang702,햄부기,40,4,ghostrush7,실눈캐,"강아지 관절 영양제, 언제부터 시작해야 늦지 않을까",https://cafe.naver.com/ca-fe/cafes/31750104/articles/40
28,2026-07-10 06:59,carelog702,고구마스틱2 (10개) 1,28,4,k7d9x2m4,강아지강하지 1,종로 금은방 가기전 시세부터 알고 가세요,https://cafe.naver.com/ca-fe/cafes/31750106/articles/28
29,2026-07-10 07:00,dogwalk2m4,강아지강하지 1,36,2,laghunter8,도도 1,"밀크씨슬 효능과 실리마린 함량, 부작용까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/36
30,2026-07-10 07:00,driveee,운연정,79,1,n7c3w8z2,고양이밥 1,50대 아빠 생일선물 추천 (취미·실용·가격대),https://cafe.naver.com/ca-fe/cafes/31746635/articles/79
31,2026-07-10 07:01,habitnote702,룰루랄라 2 (12개) 1,31,5,pixelninja3,건강박사석사 1,"14K커플링 맞춘 후기, 실버에서 넘어온 이유",https://cafe.naver.com/ca-fe/cafes/31750105/articles/31
32,2026-07-10 07:02,healthhhh,가중건다,81,5,vegetable10517,렙용,남자친구 부모님선물 부담 없이 고르는 법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/81
33,2026-07-10 07:03,infomadang702,실눈캐,27,4,produce11745,가중건다,반지를 한 번도 껴본 적 없는 남자의 웨딩반지 고르기,https://cafe.naver.com/ca-fe/cafes/31750108/articles/27
34,2026-07-10 07:03,localtable702,소원 1,51,5,q9v3m7a2,포비 1,"위고비 알약 효과와 복용법, 국내 출시와 가격까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/51
35,2026-07-10 07:04,mealtalkdht,빨간모자앤 1,37,4,ahffkdlek12,바삭바삭해 1,커플링브랜드 실버 14k 가격과 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750099/articles/37
36,2026-07-10 07:05,menunote702,똑똑한건희씨,36,1,ahffkekd12,긍정이백퍼  1,"알파CD 효능과 하루 섭취량, 지방 흡착 근거까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/36
37,2026-07-10 07:06,petinfo183,티니피쉬 1,29,4,ahfflwl123,햄부기,"입주청소 평당 단가와 추가금, 청소업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/29
38,2026-07-10 07:06,tableclub702,고래낚시 1,40,4,ahsxkfldk12,쉽고간단하게,"부평 웨딩홀 역세권 위치와 주차, 하객 동선 기준",https://cafe.naver.com/ca-fe/cafes/31750110/articles/40
39,2026-07-10 07:07,talkmadang702,햄부기,39,4,alsrudgus531,운연정,강아지 영양제 잘못 먹이면 생기는 일,https://cafe.naver.com/ca-fe/cafes/31750104/articles/39
40,2026-07-10 07:08,carelog702,고구마스틱2 (10개) 1,27,1,bigfish773,고래낚시 1,종로 반지 어디서 살까? 완벽 비교,https://cafe.naver.com/ca-fe/cafes/31750106/articles/27
41,2026-07-10 07:09,dogwalk2m4,강아지강하지 1,35,1,dhtksk1p,빨간모자앤  1,"울산 마운자로 처방 기준과 용량별 가격, 성지 판별법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/35
42,2026-07-10 07:09,driveee,운연정,78,3,geenl,모험 - 교체,남자친구 부모님선물 추천 후기,https://cafe.naver.com/ca-fe/cafes/31746635/articles/78
43,2026-07-10 07:10,habitnote702,룰루랄라 2 (12개) 1,30,3,eghfsa5478,오세아니야 1,날개없는 선풍기 살까 말까? 일반 선풍기와 비교해봤습니다,https://cafe.naver.com/ca-fe/cafes/31750105/articles/30
44,2026-07-10 07:11,healthhhh,가중건다,80,3,ghostrush7,실눈캐,흑염소진액 효과 복용법,https://cafe.naver.com/ca-fe/cafes/31746910/articles/80
45,2026-07-10 07:12,infomadang702,실눈캐,26,5,k7d9x2m4,강아지강하지 1,백금커플링 3년 껴본 후기,https://cafe.naver.com/ca-fe/cafes/31750108/articles/26
46,2026-07-10 07:12,localtable702,소원 1,50,5,laghunter8,도도 1,"삼척카페 구역별 오션뷰와 휴무일, 동선 짜는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750113/articles/50
47,2026-07-10 07:13,mealtalkdht,빨간모자앤 1,36,3,n7c3w8z2,고양이밥 1,"장에 좋은 음식과 발효식품 섭취량, 피할 음식까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/36
48,2026-07-10 07:14,menunote702,똑똑한건희씨,35,4,pixelninja3,건강박사석사 1,"베르가못 향의 정체와 얼그레이, 광독성 주의점까지",https://cafe.naver.com/ca-fe/cafes/31750111/articles/35
49,2026-07-10 07:15,petinfo183,티니피쉬 1,28,3,q9v3m7a2,포비 1,"시스템에어컨 청소 비용과 차이, 업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/28
